Date,Open,High,Low,Close,Adj Close,Volume
2002-08-12,38.724998,40,38.724998,39.700001,28.12129,212976
2002-08-13,39.75,40.387501,38.875,39.162498,27.740541,153576
2002-08-14,39.25,39.25,35.724998,36.462502,25.82802,822776
2002-08-15,36.462502,36.462502,36.462502,36.462502,25.82802,0
2002-08-16,36.275002,38,35.75,36.375,25.766037,811856
2002-08-19,36.674999,36.674999,35.137501,35.474998,25.128527,205880
2002-08-20,35.724998,38.724998,35.487499,36.462502,25.82802,3773624
2002-08-21,38.474998,39.200001,36.525002,38.25,27.094185,3011064
2002-08-22,39.512501,41.575001,39.3125,39.900002,28.262953,6732480
2002-08-23,40.25,43.625,39.762501,42.299999,29.96299,4841672
2002-08-26,42.974998,43.25,41.8125,42.150002,29.856737,2576912
2002-08-27,42.5,44.25,40.75,41.099998,29.112972,3694224
2002-08-28,40.974998,41.599998,40.287498,41.137501,29.139536,1674960
2002-08-29,40.887501,41.875,40.75,41.137501,29.139536,1236544
2002-08-30,41.262501,45.125,41.25,44.049999,31.202581,3762384
2002-09-02,44.75,45.974998,44.049999,44.5,31.521347,2389568
2002-09-03,44.75,44.9375,42,42.412498,30.04266,986784
2002-09-04,41.875,43.75,41.387501,43.337502,30.697882,1449856
2002-09-05,44.662498,44.862499,42.5,43.075001,30.511938,1061360
2002-09-06,43.25,43.25,41.012501,41.474998,29.378601,907472
2002-09-09,39.5,42.6875,39.5,40.9375,28.99785,880848
2002-09-10,40.9375,40.9375,40.9375,40.9375,28.99785,0
2002-09-11,41.162498,42.700001,41.162498,41.974998,29.732777,635936
2002-09-12,42.487499,43.224998,41.900002,42.1875,29.883284,781968
2002-09-13,40.712502,42.224998,40.637501,40.987499,29.033266,338264
2002-09-16,41.375,41.599998,39.875,40.1875,28.4666,288592
2002-09-17,40.912498,41.625,40.775002,41.362499,29.298916,462952
2002-09-18,41.125,41.25,39.75,40.087502,28.39576,315432
2002-09-19,39.75,41.075001,39.25,39.75,28.156696,490848
2002-09-20,38.325001,39.674999,38.162498,39.099998,27.696268,501072
2002-09-23,39.375,39.474998,38.275002,38.4375,27.226997,248504
2002-09-24,38.299999,38.299999,36.724998,37.137501,26.306158,267912
2002-09-25,36.275002,37.75,36,37.424999,26.50979,379544
2002-09-26,38.200001,38.612499,37.75,38.012501,26.925938,178136
2002-09-27,37.887501,39,37.887501,38.474998,27.253551,206288
2002-09-30,37.887501,38.474998,36.275002,37.075001,26.261881,202232
2002-10-01,37.25,37.75,36.125,36.762501,26.040518,240192
2002-10-02,36.762501,36.762501,36.762501,36.762501,26.040518,0
2002-10-03,37.25,39.75,37.25,37.75,26.740005,673264
2002-10-04,38.25,38.362499,37.125,37.512501,26.571777,258296
2002-10-07,37.762501,38,37.025002,37.349998,26.456669,110976
2002-10-08,37.462502,38.724998,37.25,38.362499,27.173872,227352
2002-10-09,38.5,39.112499,37.0625,37.387501,26.48324,277040
2002-10-10,38.5,38.5,36.637501,37.424999,26.50979,173224
2002-10-11,38.474998,38.9375,38.112499,38.212502,27.067627,192536
2002-10-14,38.924999,39,37.575001,37.9375,26.872831,152744
2002-10-15,37.9375,37.9375,37.9375,37.9375,26.872831,0
2002-10-16,42.775002,42.775002,37.775002,38.012501,26.925938,247760
2002-10-17,38.25,38.25,37.525002,38.012501,26.925938,144512
2002-10-18,38.75,39.924999,38.287498,38.8125,27.49263,512312
2002-10-21,39.724998,40.737499,39.25,39.412498,27.917629,646296
2002-10-22,39.75,39.75,37.75,37.987499,26.908249,229384
2002-10-23,38.25,38.700001,37.525002,37.8125,26.784281,153320
2002-10-24,38.224998,38.349998,36.900002,37.150002,26.315008,168744
2002-10-25,36.5,37.087502,36.275002,36.387501,25.774899,172296
